Create Time	Author ID	Description	Entities
2024-11-11T17:35:45.000Z	1257817660412366849	@CasasBahia que atendimento ruim é esse em que o cliente solicita cancelamento do produto, fala que tá sendo analisado e mesmo assim vcs mandam o produto pra entrega?	[]
2024-11-11T17:10:27.000Z	1855620010414317568	@CasasBahia Cupom de 1000	[('Cupom', 'LOC')]
2024-11-11T16:51:18.000Z	327127384	@ironfuckman @marcusdelfino @CasasBahia @SmilesOficial https://t.co/qCVesxCeIA   Agora sim o link certo*	[('@ironfuckman @marcusdelfino @CasasBahia @SmilesOficial', 'MISC')]
2024-11-11T16:50:45.000Z	327127384	@ironfuckman @marcusdelfino @CasasBahia @SmilesOficial Eu farei isso. Não adianta nada ter promoção de bonificada se na hora do cumprimento da oferta não cumprem. Isso é vedado pelo código de defesa do consumidor também.  Aconselho vcs a fazerem uma reclamação no https://t.co/FbyYfXEUoi também	[('@ironfuckman @marcusdelfino @CasasBahia @SmilesOficial', 'MISC'), ('https://t.co/FbyYfXEUoi', 'MISC')]
2024-11-11T16:37:52.000Z	2153836136	Já abri reclamação no reclame aqui, viu? @CasasBahia, nos vemos no tribunal 🤬😡	[('😡', 'PER')]
2024-11-11T16:11:21.000Z	2209736058	@marcusdelfino @liviia_liima @CasasBahia @SmilesOficial Palhaçada!! Já vi umas 3 reclamações no reclame aqui sobre cancelamento de pedido nessa promoção das milhas da semana passada. E todas estão relacionadas à compra de iPhone. O jeito vai ser acionar o Procon mesmo	[('@marcusdelfino', 'ORG'), ('@SmilesOficial Palhaçada!', 'MISC'), ('iPhone', 'MISC'), ('Procon', 'MISC')]
2024-11-11T15:25:48.000Z	285905438	comprei um produto na @CasasBahia: pagamento em análise.. dois segundos depois chega email dizendo que a compra foi negada. entro no aplicativo o produto aparece como aprovado e já posso até retirar na loja 🤡🤡🤡	[('comprei', 'LOC'), ('🤡🤡', 'PER')]
2024-11-11T15:14:26.000Z	1467901458733543434	@CasasBahia BORA ME RESPONDAM LÁ @CasasBahia	[]
2024-11-11T15:05:49.000Z	1467901458733543434	@CasasBahia PRECISO DE SUPORTE SEUS CANALHAS O CARALHO DESSE 0800 E A PORRA DO SAC NÃO FUNCIONA NINGUÉM ATENDE	[('@CasasBahia PRECISO DE SUPORTE SEUS CANALHAS', 'MISC'), ('CARALHO DESSE 0800', 'MISC'), ('A PORRA DO SAC', 'MISC'), ('NÃO FUNCIONA', 'ORG')]
2024-11-11T14:17:14.000Z	408478004	@liviia_liima @marcusdelfino @CasasBahia @SmilesOficial @ReclameAQUI Olá. Consumidores com problemas podem registrar uma reclamação. Residindo no estado de SP, acesse https://t.co/0CBgLubENa , e faça a reclamação.	[('@liviia_liima @marcusdelfino @CasasBahia @SmilesOficial', 'MISC'), ('Olá', 'MISC'), ('SP', 'LOC')]
