Video ID	Description	Create Time	Likes	Comments	Shares
7430606565280959750	PLANTÃO BLACK AO VIVO Casas Bahia 🚨 A Black Friday já começou com descontos insanos! Ative as notificações do celular e acompanhe todas as nossas redes pra garantir condições imperdíveis e cupons de tirar o fôlego 📱💙 Essa é a hora de aproveitar! #PlantãoBlackCasasBahia #BlackFridayCasasBahia	1730072920	98100	1396	1315
7430099974052072709	VEM AÍ 🚨 É a Black ao vivo, Casas Bahia! Ative as notificações e siga a gente em todas as redes sociais para ficar por dentro de tudo! 🔔💙 #BlackFriday #BlackFridayCasasBahia	1729954968	39	15	6
7436528180653002039	Esses são os queridinhos da Menina Veneno 🛍️💙 E quais são os seus? O Plantão Black já começou ao vivo na Casas Bahia! Todos os dias, teremos ofertas imperdíveis direto aqui nas redes sociais. Ative as notificações e fique por dentro de tudo! 🔔 #BlackFriday #BlackFridayCasasBahia	1731451652	33	13	0
7435037485731843384	3 eletros que eu compraria novamente! 💙✨ Você tem os seus favoritos? Ah, e aproveita as ofertas imperdíveis da Black Friday que chegaram mais cedo com o Plantão Black Casas Bahia! Todos os dias, o Plantão Black Casas Bahia traz ofertas imperdíveis. Não perca a chance de conferir essas promoções incríveis na loja, no site ou no app da Casas Bahia. Aproveite, pois a Casas Bahia tem entrega para todo o Brasil. Casas Bahia é dedicação total a você! @casasbahia #PlantaoBlackCasasBahia *publi	1731104570	43	7	1
7434907832874585400	4 dicas úteis para transformar sua casa! 🏠 Conta pra gente qual dessas você já usa ou gostaria de ter! Todos os produtos para essas dicas estão no site das @casasbahia e o melhor de tudo? O Plantão Black já começou, trazendo ofertas de Black Friday todos os dias. Pra não perder nadinha, ativa as notificações, porque a Casas Bahia vai fazer DUAS lives por dia com descontos exclusivos, válidos só enquanto a live estiver no ar! Corre pra garantir esses itens com preço especial, tanto na loja quanto no site e no app, com entrega para todo o Brasil! #obra #reforma #construção #casasbahia #blackfriday	1731074385	28	7	3
7434306880593349943	O Plantão Black ao vivo, Casas Bahia não tá de brincadeira não! 😎🔥 São diversas ofertas inacreditáveis para os mais ligados nas nossas redes sociais. iPhone por R$ 1.999,00 e Smart tv por R$ 599,00? Perdeu? Fica ligado que nos próximos dias tem muito mais 😱✨ Ative as notificações pra ficar por dentro de todas as promoções e aproveitar a #BlackFridayCasasBahia 📱 #BlackFriday #ofertas #promocao #descontos 	1730934467	23	6	2
7433853632174394630	3 motivos (que facilmente poderiam ser uns 100) pra você aproveitar a #BlackFridayCasasBahia! 😌😂 E aí, qual produto você quer ver no nosso plantão de ofertas? 🚨 Baixe o app, entre no site ou corra pra loja pra não perder nadinha. Ah, ative as notificações pra ficar por dentro de tudo que está rolando! 🤳🏼 #BlackFriday #PlantãoAoVivoCasasBahia	1730828936	58	13	11
7432790277863017734	Plantão Black ao vivo, Casas Bahia! 🚨 A primeira semana foi incrível, com várias ofertas surreais: iPhone baratinho, Smart TV com um desconto inacreditável e muito mais! 😱 Pra você ficar por dentro de todas as promoções, é só ativar as notificações do seu celular e ficar bem ligado nas nossas redes sociais 😌💙 @beatrizreisbrasil  #BlackFridayCasasBahia #CasasBahia	1730581352	35	4	11
7431320349695823110	A paz de fazer comprinhas com descontos de Black! 🧘🏽 Sabia que dá pra comprar pelo app ou site e retirar direto na loja? Clica no link da bio pra saber mais e aproveita as ofertas da Live Black, ao vivo na Casas Bahia! 🤳🏼 #PlantãoBlackCasasBahia #BlackFridayCasasBahia	1730239108	29	4	2
7430851492828957958	Plantão Black ao vivo, Casas Bahia! 🚨 Todos os dias, teremos plantões com ofertas e preços surreais. Qual produto você quer ver em promoção? Ative as notificações das nossas redes sociais e fique por dentro de cada uma delas. 🔔 #PlantaoBlackCasasBahia #BlackFriday #BlackFridayCasasBahia	1730129943	37	8	13
7429791938083032326	Hora de curtir o review da mesa Dobuê Topázio na @therealestatebrasil 🪑 Quer garantir a sua? Clique no link da bio e aproveite as ofertas no nosso app e site. 📱💙 #TheRealEstateBrasil #CasasBahia	1729883249	35	2	3
