Hashtags	Contagem
Agnaldo Rayol	240
#JACKANDJOKEREP9	2504253
Calejon	240
#Enem2024	1912862
EP9 U STEAL MY HEART	2328972
Quincy Jones	1247803
Rayan	240
Gabigol	1978709
Oasis	240112
Flamengo	3520985
rita lee	240
#FavoriteThaiGLCouple2024	240
Verstappen	2726701
Senna	1826018
Atlético	1075829
Norris	1648569
Gabriel Barbosa	271320
Jones	2164107
Marcelo	401464
Interlagos	896638
Débora Aladim	199751
Post Malone	240
#RoqueSanteiroNoVIVA	240
Tardezinha	240
Ocon	686099
Coldplay	240
Hamilton	1768043
#EsquentaBlackFriday	240
The Town	470135
Neymar	120905
Zé Gotinha	240
Arrascaeta	188002
Hulk	328396
Maracanã	457471
Wesley	244954
Seyran	37208
Gabriel Pec	240
Dulce Maria	240
Suzy	59690
COREANAS	240
Ferit	36097
O Enem	4651270
Plata	738546
Jinx	105397
Trump	39702177
Jovem Pan	240
$HIPPO	240
Al Hilal	240
De La Cruz	308458
#GarotaDoMomento	240
CONSIGO AFIRMAR	240
The Rock	337984
Texas	2112611
Diyar	240
rosie	95276
Vargas	300358
Rubens	240
Genocida	79269
ESTAMOS COM VOCE SACHA	41350
#F1naBand	31994
Seu Tuta	240
#g4bandsports	240
#TXT_SANCTUARY	253213
Evandro Teixeira	240
Mitrovic	240
Derby	261140
Árias	240
TXT SANCTUARY OUT NOW	406472
Jojo Todynho	240
Heinz Ketchup Tradicional	240
Lyon	73485
Rosie	115120
#OverTheMoon	585922
Stroll	546901
Bidu	240
ARRASCAETA	107141
#FLAxCAM	126367
Fate	297653
clarissa	240
Dubai	301300
Da Cunha	240
#f1naband	44793
Milito	240
Kardec	240
suzy	28207
TXT OVER THE MOON	330287
Kamala	19427620
bom enem	83938
vargas	243503
Arana	240
#TOMORROW_X_TOGETHER	687266
Paulo Freire	240
Léo Ortiz	240
game of thrones	153125
THE LOYAL PIN THE KEY WITNESS	12097384
#BDSP	240
Telebras	240
Pinguim	240
sofia santino	240
seokmin	63567
Carol Castro	240
Fulham	16261
INEP	235885
#ProgramaSilvioSantos	240
Lilia Cabral	240
Raluca	240
Alan Kardec	240
Duda Santos	240
Morumbi	240
Galatasaray	132877
D e E	3987623
#ThePenguin	240
inep	343622
033KG - Tamanho Grande	240
Lesão	240
Fábio Assunção	240
Edu Gaspar	33372
Corinthians x Palmeiras	240
BRANCAS	240
Clarice	240
Thiaguinho	240
AFRICANA	118170
#CidadeAlertaRJ	240
R$120	240
Impeachment	92775
EFEITO LULA	240
Delegado da Cunha	240
Djonga	240
Marcos Rocha	240
liz macedo	240
Ritinha	240
The Great War	33105
EU ACREDITO	151444
Brentford	10939
#HighSchoolFrenemyEP7	369964
Letícia Colin	240
tracie	240
#domingão	240
GABRIEL BARBOSA	59411
África	1090514
soobin	215219
Rock in Rio	240
Mendes	44008
Prime	482089
Esse Fernando	240
demi lovato	240
Fluxo	20278
Milton Nascimento	240
Eduardo Moreira	240
tasha	240
HOJE TEM CORINTHIANS	240
Cunha	240
1 Nécessaire	240
Forfun	240
Sam Darnold	240
Cornelia Street	10840
Acertei	240
#flaxcam	50837
Thriller	100355
outer banks	240
Cayenne	240
Demi Lovato	240
Cupom Amazon	240
Carlos Marighella	240
JOAO VITOR	240
#Fantástico	240
Higher Than Heaven	11017
#Fantastico	240
Renê	12512
#FayeYoko	26828
Anahi	240
Madison	31838
Marquei	240
PS5 Pro	56521
CONGRATULATIONS JIN	24197
Smashing Pumpkins	240
#IndyTSTheErasTour	128716
#ShowDoMilhão	240
Novembro Azul	240
#BrazilianGP	168744
Benedita	240
Vikings	134524
McLaren	519640
Colts	98714
Ana Furtado	240
léo ortiz	240
Zaracho	240
Fátima de Tubarão	240
Rockstar	44906
milito	240
Game of Thrones	62606
O Juninho	240
Réveillon	240
Se o Trump	31422
Black Friday	35472
Pipocada	240
O Fernando	240
Débora	38902
Minho	170207
Donald Trump	1504660
Lexa	240
Alpine	472799
Vitor Reis	240
ALAN KARDEC	240
Gillette 1 Kit Mach3	240
Humanas	171937
Efeito Lula	240
ZARACHO	240
Matemática	240
djamila ribeiro	240
#Domingão	240
Otávio	240
Dia 4	60428
CORNELIA STREET	240
Cybertruck	27672
Geno Smith	240
Michael	1240034
Citei	240
taeyong	337575
IPTU	240
Paulo Antunes	240
#NeyDay	240
Utopia	60055
Drew	123862
Gabriel	202801
Carolina Maria	240
Djamila Ribeiro	240
Ensino Médio	240
Sparta Maleta	240
Noise	258756
Machado de Assis	240
ONGs	11206
